taxon_key,name
cabombaceae,Cabombaceae
brasenia,Brasenia
brasenia_schreberi,Brasenia schreberi J.F.Gmel.
nymphaeaceae,Nymphaeaceae
euryale,Euryale
euryale_ferox,Euryale ferox Salisb.
nuphar,Nuphar
nuphar_japonica,Nuphar japonica DC.
