ID20141020,雑種・品種2,GreenList和名,GreenList和名別名,GreenList学名,科番号,新エングラー科和名,新エングラー科学名,自生,固有,APG科名,APG科和名
41.0,,ヒノキ,,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,8.0,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
42.0,,ツノミノヒノキ,,Chamaecyparis obtusa (Siebold et Zucc.) Endl. var. takeuchii Hayashi,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
43.0,,サワラ,,Chamaecyparis pisifera (Siebold et Zucc.) Endl.,8.0,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
44.0,,ホンドミヤマネズ,,Juniperus communis L. var. hondoensis (Satake) Satake ex Sugim.,8.0,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
45.0,,ミヤマネズ,,Juniperus communis L. var. nipponica (Maxim.) E.H.Wilson,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
46.0,,リシリビャクシン,,Juniperus communis L. var. montana Aiton,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
47.0,,ハイネズ,,Juniperus conferta Parl.,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
48.0,,ネズ,"ネズミサシ, ムロ",Juniperus rigida Siebold et Zucc.,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
49.0,,シマムロ,ヒデ,Juniperus taxifolia Hook. et Arn.,8.0,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
50.0,,"オキナワハイネズ, ",オオシマハイネズ,Juniperus taxifolia Hook. et Arn. var. lutchuensis (Koidz.) Satake,8.0,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
51.0,,ミヤマビャクシン,シンパク,Juniperus chinensis L. var. sargentii A.Henry,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
52.0,,ハイビャクシン,ソナレ,Juniperus chinensis L. var. procumbens Siebold ex Endl.,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
53.0,,イブキ,ビャクシン,Juniperus chinensis L.,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
54.0,,クロベ,ネズコ,Thuja standishii (Gordon) Carrière,8.0,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
55.0,,ヒノキアスナロ,,Thujopsis dolabrata (L.f.) Siebold et Zucc. var. hondae Makino,8.0,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
56.0,,アスナロ,,Thujopsis dolabrata (L.f.) Siebold et Zucc.,8.0,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
57.0,,"アシウスギ, サワスギ",,Cryptomeria japonica (L.f.) D.Don var. radicans Nakai,9.0,スギ科,TAXODIACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
58.0,,スギ,,Cryptomeria japonica (L.f.) D.Don,9.0,スギ科,TAXODIACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
59.0,,ハイイヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. nana (Nakai) Rehder,10.0,イヌガヤ科,CEPHALOTAXACEAE,自生,,TAXACEAE,イチイ科
60.0,,イヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. harringtonia,10.0,イヌガヤ科,CEPHALOTAXACEAE,自生,,TAXACEAE,イチイ科
61.0,,キャラボク,,Taxus cuspidata Siebold et Zucc. var. nana Hort. ex Rehder,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
62.0,,イチイ,"アララギ, オンコ",Taxus cuspidata Siebold et Zucc.,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
63.0,ｆ,キミノオンコ,,Taxus cuspidata Siebold et Zucc. f. luteobaccata (Miyabe et Tatew.) Hayashi,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
64.0,,チャボガヤ,,Torreya nucifera Siebold et Zucc. var. radicans Nakai,11.0,イチイ科,TAXACEAE,自生,固有,TAXACEAE,イチイ科
65.0,,カヤ,,Torreya nucifera (L.) Siebold et Zucc.,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
66.0,f,コツブガヤ,,Torreya nucifera Siebold et Zucc. f. igaensis (Doi et Morikawa) Kitam.,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
67.0,f,ヒダリマキガヤ,,Torreya nucifera Siebold et Zucc. f. macrosperma (Miyoshi) Kusaka,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
68.0,f,ハダカガヤ,,Torreya nucifera Siebold et Zucc. f. nuda (Miyoshi) Kusaka,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
69.0,f,マルミガヤ,,Torreya nucifera Siebold et Zucc. f. sphaerica (Kimura) Yonek.,11.0,イチイ科,TAXACEAE,自生,,TAXACEAE,イチイ科
70.0,,リュウキュウイヌマキ,,Podocarpus fasciculatus Laubenf.,12.0,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
71.0,f,ラカンマキ,,Podocarpus macrophyllus (Thunb.) Sweet f. macrophyllus,12.0,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
72.0,,イヌマキ,,Podocarpus macrophyllus (Thunb.) Sweet,12.0,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
73.0,,ナギ,,Nageia nagi (Thunb.) Kuntze,12.0,マキ科,PODOCARPACEAE,自生,,PODOCARPACEAE,マキ科
74.0,,コウヤマキ,,Sciadopitys verticillata (Thunb.) Siebold et Zucc.,13.0,コウヤマキ科,SCIADOPITYACEAE,自生,固有,SCIADOPITYACEAE,コウヤマキ科
