ID20141020,雑種・品種2,GreenList和名,GreenList和名別名,GreenList学名,科番号,新エングラー科和名,新エングラー科学名,自生,固有,APG科名,APG科和名
43,,サワラ,,Chamaecyparis pisifera (Siebold et Zucc.) Endl.,8,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
44,,ホンドミヤマネズ,,Juniperus communis L. var. hondoensis (Satake) Satake ex Sugim.,8,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
45,,ミヤマネズ,,Juniperus communis L. var. nipponica (Maxim.) E.H.Wilson,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
46,,リシリビャクシン,,Juniperus communis L. var. montana Aiton,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
47,,ハイネズ,,Juniperus conferta Parl.,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
48,,ネズ,"ネズミサシ, ムロ",Juniperus rigida Siebold et Zucc.,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
49,,シマムロ,ヒデ,Juniperus taxifolia Hook. et Arn.,8,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
50,,"オキナワハイネズ, ",オオシマハイネズ,Juniperus taxifolia Hook. et Arn. var. lutchuensis (Koidz.) Satake,8,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
51,,ミヤマビャクシン,シンパク,Juniperus chinensis L. var. sargentii A.Henry,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
52,,ハイビャクシン,ソナレ,Juniperus chinensis L. var. procumbens Siebold ex Endl.,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
53,,イブキ,ビャクシン,Juniperus chinensis L.,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
54,,クロベ,ネズコ,Thuja standishii (Gordon) Carri?re,8,ヒノキ科,CUPRESSACEAE,自生,固有,CUPRESSACEAE,ヒノキ科
55,,ヒノキアスナロ,,Thujopsis dolabrata (L.f.) Siebold et Zucc. var. hondae Makino,8,ヒノキ科,CUPRESSACEAE,自生,,CUPRESSACEAE,ヒノキ科
